
> backend@1.0.0 test:coverage
> jest --coverage

---------------------|---------|----------|---------|---------|------------------------
File                 | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s      
---------------------|---------|----------|---------|---------|------------------------
All files            |   90.74 |    85.48 |   83.82 |   92.28 |                        
 src                 |      75 |    53.84 |   52.63 |   78.16 |                        
  app.js             |   74.07 |       50 |   56.25 |   78.37 | 78,118-131,135-148,160 
  index.js           |      80 |    66.66 |   33.33 |   76.92 | 17-20                  
 src/config          |   96.29 |    94.44 |   88.88 |   95.83 |                        
  cors.js            |   96.29 |    94.44 |   88.88 |   95.83 | 92                     
 src/errors          |     100 |      100 |     100 |     100 |                        
  AppError.js        |     100 |      100 |     100 |     100 |                        
 src/middleware      |   95.19 |    84.81 |   95.23 |   95.19 |                        
  auth.js            |     100 |      100 |     100 |     100 |                        
  bodySizeLimits.js  |   90.32 |    94.44 |    87.5 |   90.32 | 76,114,147             
  deprecation.js     |     100 |    42.85 |     100 |     100 | 9-22                   
  errorHandler.js    |     100 |     92.3 |     100 |     100 | 34                     
  rateLimit.js       |     100 |       50 |     100 |     100 | 27-49                  
  security.js        |     100 |      100 |     100 |     100 |                        
  validate.js        |   91.66 |    57.14 |     100 |   91.66 | 24,54                  
 src/schemas         |     100 |      100 |     100 |     100 |                        
  apiSchemas.js      |     100 |      100 |     100 |     100 |                        
 src/services        |   91.83 |    84.37 |     100 |   97.43 |                        
  invoice.service.js |     100 |      100 |     100 |     100 |                        
  soroban.js         |   89.74 |    84.37 |     100 |   96.55 | 117                    
 src/utils           |   97.93 |    93.25 |     100 |   97.84 |                        
  asyncHandler.js    |     100 |      100 |     100 |     100 |                        
  problemDetails.js  |     100 |      100 |     100 |     100 |                        
  queryBuilder.js    |     100 |    87.87 |     100 |     100 | 22,24                  
  responseHelper.js  |     100 |      100 |     100 |     100 |                        
  retry.js           |     100 |      100 |     100 |     100 |                        
  validators.js      |   94.59 |    94.44 |     100 |   94.59 | 45,72                  
---------------------|---------|----------|---------|---------|------------------------
